n=100 p=4				
0,33	0,26	0,30    0,89	0,296666666666667
n=100 p=8				
0,48	0,57	0,43	1,48	0,493333333333333
n=100 p=16				
1,22	1,04	12,41	14,67	4,89
n=1000 p=4				
0,83	0,72	0,85	2,40    0,8
n=1000 p=8				
1,19	1,09	1,09	3,37	1,12333333333333
n=1000 p=16				
8,54	5,71	6,61	20,86	6,95333333333333
n=10000 p=4				
8,39	8,45	6,54	23,38	7,79333333333333
n=10000 p=8				
8,09	8,01	8,06	24,16	8,05333333333333
n=10000 p=16				
22,19	21,9	13,89	57,98	19,3266666666667
n=100000 p=4				
88,04	87,86	87,22	263,12	87,7066666666667
n=100000 p=8				
109,04	108,1	108,96	326,1	108,7
n=100000 p=16				
137,76	215,58	173,16	526,5	175,5
